word,meaning,phonetic,example,example_cn
judge,法官；裁判员,,The judge made a fair decision in the court.,法官在法庭上做出了公正的判决。
judgement,判断，决定；意见； 审判； 判断；意见；审判；判断,,It was a good judgement to bring an umbrella because it rained.,带伞是个好判断，因为下雨了。
juice,(水果等)汁，液,,I always drink orange juice for breakfast.,我早餐总喝橙汁。
jump,跳过；跳；暴涨,,The frog can jump very far.,青蛙能跳得很远。
jungle,丛林， 密林， 莽丛； 乱七八糟的一堆；丛林，密林，莽丛,,Many wild animals live in the jungle.,许多野生动物生活在丛林里。
junior,年少的；年少的；资历较浅的；晚辈；晚辈； 三年级学生,,He is a junior member of the team.,他是团队中资历较浅的成员。
jury,陪审团； 评奖团；陪审团；评奖团,,The jury found the man guilty of the crime.,陪审团裁定该男子有罪。
just,刚才；只是；正好,,I just finished my homework.,我正好刚完成作业。
justice,公正；正义， 公正； 司法；正义，公正；司法,,The court works hard to ensure justice for everyone.,法院努力确保对每个人都公正。
justify,证明……正当；证明…是正当的,,How can you justify spending so much money on a bag?,你怎么证明花这么多钱买一个包是正当的？
keen,热心的； 激烈的； 敏锐的， 敏捷的；热心的；激烈的,,She is keen on learning to play the piano.,她热衷于学习弹钢琴。
keenly,敏锐地,,He keenly observed the behavior of the birds.,他敏锐地观察着鸟类的行为。
keep,保持；坚持,,Please keep your room clean and tidy.,请保持你的房间干净整洁。
keeper,看护人；饲养员,,The zoo keeper feeds the animals every morning.,动物园饲养员每天早上喂动物。
kettle,水壶；水壶，水锅,,I boiled some water in the kettle for tea.,我用水壶烧了些水泡茶。
key,钥匙；键；答案,,I lost my house key yesterday.,我昨天丢了房门钥匙。
keyboard,键盘,,I need a new keyboard because some keys are broken.,我需要一个新键盘，因为有些键坏了。
kick,踢,,The boy can kick the ball very hard.,那个男孩能把球踢得很用力。
kid,小孩，儿童，少年；小孩；年轻人；戏弄， 开玩笑,,The kid is playing with his toy car.,那个小孩正在玩他的玩具车。
kill,杀死；扼杀；消磨,,The farmer had to kill the sick chicken.,农夫不得不杀掉那只病鸡。
kilogram,千克，公斤,,A kilogram of apples costs five yuan.,一千克苹果要五块钱。
kilometre,千米，公里,,The nearest hospital is five kilometres from here.,最近的医院离这儿五公里。
kind,种类,,Grandma is very kind to everyone.,奶奶对每个人都很慈祥。
kindergarten,幼儿园,,My son starts kindergarten next month.,我儿子下个月开始上幼儿园。
kindness,仁慈， 好意；仁慈，好意,,Thank you for your kindness and help.,谢谢你的好意和帮助。
king,国王，君主,,The king ruled the country for many years.,这位国王统治了这个国家很多年。
kingdom,王国； 领域； 界；王国；领域，界,,The United Kingdom is a country in Europe.,联合王国是欧洲的一个国家。
kiss,吻；接吻,,He kissed his wife goodbye before leaving for work.,他上班前吻别了妻子。
kitchen,厨房，灶间,,Mom is cooking dinner in the kitchen.,妈妈正在厨房做晚饭。
kite,风筝,,The children are flying kites in the park.,孩子们正在公园里放风筝。
knee,膝，膝盖，膝关节,,He hurt his knee while playing football.,他踢足球时伤到了膝盖。
kneel,跪， 跪下， 跪着；跪，跪下，跪着,,She knelt down to tie her shoelaces.,她跪下来系鞋带。
knife,小刀，刀，餐刀,,Be careful when you use a knife.,用刀时要小心。
knit,把…编结；编织,,My grandmother taught me how to knit a scarf.,我奶奶教我如何织围巾。
knob,门把，拉手；旋纽,,Turn the knob to open the door.,转动门把手把门打开。
knock,敲，击，打,,Someone knocked on the door at midnight.,有人半夜敲了门。
knot,(绳的)结，(树的)节；打结；把…打成结；结；节疤；节,,He tied a knot in the rope to keep it secure.,他在绳子上打了一个结以固定它。
know,知道；认识；通晓,,I know the answer to this question.,我知道这个问题的答案。
knowledge,知识，学识；知道,,Knowledge is power.,知识就是力量。
lab,实验室，研究室,,The scientist spent all day working in the lab.,这位科学家整天在实验室里工作。
label,标签；标记，符号；贴标签于； 把…称为,,Read the label on the bottle before taking the medicine.,服药前先看一下瓶子上的标签。
laboratory,实验室， 研究室；实验室，研究室,,The students conducted an experiment in the laboratory.,学生们在实验室里做了一项实验。
laborious,费力的,,Moving all the furniture upstairs was a laborious task.,把所有的家具搬到楼上是一项费力的工作。
labour,劳动；工作；劳工,,Labour Day is a public holiday in many countries.,劳动节在很多国家都是公共假日。
lace,鞋带，系带；花边,,She tied her shoe lace into a bow.,她把鞋带系成一个蝴蝶结。
lack,缺乏，不足,,The plants died from lack of water.,这些植物因缺水而枯死了。
lad,男孩， 小伙子,,The young lad helped his father in the shop.,那个小伙子在店里帮他父亲干活。
ladder,梯子，梯状物,,He climbed up the ladder to fix the roof.,他爬上梯子去修屋顶。
lady,女士，夫人；贵妇人,,A kind lady helped me carry my bag.,一位好心的女士帮我提了包。
lag,落后；走得慢,,He is lagging behind the other runners.,他落后于其他跑步者。
lake,湖,,We went boating on the lake yesterday.,我们昨天去湖上划船了。
lamb,羔羊， 小羊； 羔羊肉；羔羊，小羊；羔羊肉,,The little lamb was following its mother.,小羊羔正跟着它的妈妈。
lame,跛的；瘸的，残废的,,The old horse was lame and could not walk fast.,那匹老马腿瘸了，走不快。
lamp,灯,,I turned on the lamp to read a book.,我打开台灯看书。
land,上岸；陆地；土地,,The plane will land in twenty minutes.,飞机将在二十分钟后着陆。
landing,上岸，登陆，着陆,,The helicopter made a safe landing on the roof.,直升机在楼顶上安全着陆。
landlady,女房东；女地主,,The landlady collects the rent on the first of each month.,女房东每月一号来收房租。
landlord,地主， 房东； 店主；地主；房东，店主,,The landlord fixed the broken pipe in our apartment.,房东修好了我们公寓里坏掉的水管。
landscape,美化…的景观；风景，景色；风景画；全景,,The beautiful landscape of the mountains attracted many tourists.,美丽的山区风景吸引了许多游客。
lane,(乡间)小路；跑道；小路； 跑道； 航道， 航线,,There was a narrow lane between the two houses.,那两栋房子之间有一条狭窄的小巷。
language,语言，语言课程,,Learning a new language can be challenging but rewarding.,学习一门新语言既具挑战性又很有收获。
lantern,提灯，灯笼,,We carried a lantern to light our way through the dark cave.,我们提着一盏灯笼照亮穿过黑暗洞穴的路。
lap,膝盖；膝部；一圈；膝部；一圈，一段；舔； 拍打,,The cat sat comfortably on her lap while she read.,她看书时，猫舒服地坐在她腿上。
large,大的；巨大的,,They live in a large house with a big garden.,他们住在一栋带大花园的大房子里。
largely,大部分， 大量地；大部分；大量地,,The success of the project was largely due to teamwork.,这个项目的成功很大程度上归功于团队合作。
laser,激光,,Doctors use laser technology to perform precise surgeries.,医生使用激光技术进行精确的手术。
last,最后；最后的,,He was the last person to leave the office.,他是最后一个离开办公室的人。
late,迟的；迟，晚,,She was late for the meeting because of heavy traffic.,因为交通拥堵，她开会迟到了。
lately,最近，不久前,,I have not seen her lately; I hope she is doing well.,我最近没见到她，希望她一切都好。
later,后来；过一会儿,,I will finish my homework and call you later.,我会先做完作业，过会儿再打给你。
latter,(两者中)后者的；后者的； 后一半的,,"Between coffee and tea, I prefer the latter.",咖啡和茶之间，我更喜欢后者。
laugh,笑；笑，发笑,,The joke made everyone laugh out loud.,这个笑话让所有人都大笑起来。
laughter,笑， 笑声；笑，笑声,,The room was filled with laughter during the party.,派对期间房间里充满了笑声。
launch,发射；发射，投射，发动；使下水；发射，投射；发动；发射； 下水,,The company plans to launch a new product next month.,公司计划下个月推出一款新产品。
laundry,洗衣房， 洗衣店； 待洗的衣服， 洗好的衣服；洗衣房，洗衣店；洗衣房；要洗的衣服,,I need to do my laundry because I have no clean clothes left.,我需要洗衣服了，因为已经没有干净的衣服了。
lavatory,盥洗室， 厕所；盥洗室，厕所,,The lavatory is at the end of the hallway on the right.,洗手间在走廊尽头右侧。
law,法律，法令；法则,,Everyone must obey the law to keep society safe.,每个人都必须遵守法律以维护社会的安全。
lawn,草地， 草坪， 草场；草地，草坪，草场,,The children were playing on the front lawn.,孩子们在前面的草坪上玩耍。
lawyer,律师；法学家,,She hired a lawyer to help with the contract.,她请了一位律师来帮忙处理合同事宜。
lay,置放；铺设；设置,,Please lay the books on the table.,请把书放在桌子上。
layer,层， 层次；层，层次；铺设者,,She wore a thin layer of paint on the wall.,她在墙上刷了薄薄一层漆。
layout,布局， 安排， 设计；布局，安排，设计,,The layout of the apartment is very convenient.,这套公寓的布局非常方便。
lazy,懒惰的，懒散的,,Do not be lazy; finish your work on time.,不要偷懒，按时完成你的工作。
lead,铅，铅制品,,"Pencils used to be made with lead, but now they use graphite.",铅笔过去用铅制作，但现在用的是石墨。
leader,领袖， 领导人， 首领；领袖，领导人；首领,,A good leader listens to the ideas of the team.,一个好的领导者会倾听团队的想法。
leadership,领导,,Her strong leadership helped the company grow quickly.,她强有力的领导帮助公司迅速成长。
leading,指导的， 带头的； 最主要的； 饰演主角的；指导的；最主要的,,He played the leading role in the school play.,他在学校的话剧中扮演主角。
leaf,叶，叶子,,A leaf fell from the tree and landed on the ground.,一片叶子从树上落下，掉在了地上。
league,同盟，联盟；联合会,,Our team won the championship in the football league.,我们队在足球联赛中赢得了冠军。
leak,漏洞；漏；泄露,,"There is a leak in the pipe, so we need to fix it.",管道有一处漏水，我们需要修理它。
lean,倾斜，屈身；靠；倾斜；屈身；靠；瘦的； 贫瘠的,,Do not lean too far out of the window.,不要把身体探出窗外太远。
leap,跳跃；跳跃； 骤变；跳，跃,,The frog made a big leap into the pond.,青蛙猛地一跳，跳进了池塘。
learn,学，学习,,It is never too late to learn something new.,学习新东西永远不嫌晚。
learned,有学问的； 学术上的；有学问的；学术上的,,She is a learned scholar who has written many books.,她是一位博学的学者，写了许多书。
learning,学习； 学问， 知识；学习；学问，知识,,Learning is a lifelong process that never ends.,学习是一个永无止境的终身过程。
lease,出租； 租得， 租有；租约，租契,,We signed a one-year lease for the apartment.,我们签了一年的公寓租约。
least,最少；最少的,,He chose the least expensive option.,他选择了最便宜的选项。
leather,皮革， 皮革制品；皮革；皮革制品,,She bought a new leather bag for work.,她买了一个新的皮包上班用。
leave,离去；离开,,Please leave the room quietly when you finish.,完成后请安静地离开房间。
lecture,演讲，讲课,,The professor gave a lecture on ancient history.,教授做了一场关于古代史的讲座。
left,在左边；左边的,,Turn left at the next traffic light.,在下一个红绿灯处左转。
leg,腿，腿部,,He broke his leg while playing football.,他踢足球时摔断了腿。
legal,法律的；法律的； 合法的；法律的；合法的,,It is not legal to drive without a license.,无证驾驶是不合法的。
legend,传奇；传说，传奇,,"According to the legend, a dragon once lived in this lake.",根据传说，这条湖里曾经住着一条龙。
legislation,法律， 法规； 立法， 法律的制定,,The government introduced new legislation to protect the environment.,政府出台了新的立法来保护环境。
leisure,悠闲，空闲；空闲时间； 悠闲；空闲时间；悠闲,,"In my leisure time, I enjoy reading novels.",空闲时间我喜欢读小说。
lemon,柠檬，柠檬树；柠檬； 柠檬树； 柠檬黄， 淡黄色,,She added a slice of lemon to her tea.,她在茶里加了一片柠檬。
lend,把…借给，贷(款),,Can you lend me your pen for a moment?,你能把笔借我用一下吗？
length,长，长度；一段,,The length of the table is two meters.,这张桌子的长度是两米。
lengthy,长的，漫长的,,The meeting was lengthy and lasted over three hours.,会议很漫长，持续了三个多小时。
lens,透镜， 镜片， 镜头；透镜，镜片；镜头,,He cleaned his camera lens before taking the photo.,他在拍照前擦了擦相机镜头。
less,更少地；更少的,,You should eat less sugar for your health.,为了健康，你应该少吃糖。
lessen,减少；减少，减轻；缩小,,The medicine helped lessen the pain in her back.,药物帮助减轻了她背部的疼痛。
lesson,功课，课；课程,,The first lesson in the book is very easy.,书中的第一课非常简单。
lest,唯恐， 以免；惟恐，以免,,He spoke quietly lest anyone should hear him.,他轻声说话，以免被人听见。
let,允许，让；使,,Let me help you carry that heavy box.,让我帮你搬那个重箱子吧。
letter,信；证书；字母,,I received a letter from my grandmother yesterday.,我昨天收到了祖母的一封信。
level,水平的；水平面,,The water level in the river rose after the rain.,雨后河里的水位上涨了。
lever,杆，杠杆；控制杆,,He pulled the lever to start the machine.,他拉下控制杆启动了机器。
liability,责任,,The company has a liability to pay its employees on time.,公司有责任按时支付员工工资。
liable,易于…的； 可能的；易于…的；可能的,,"If you break the rules, you are liable to get into trouble.",如果你违反规定，很可能会惹上麻烦。
liar,说谎的人,,Do not trust him because he is a liar.,不要相信他，因为他是个说谎的人。
liberal,心胸宽大的， 慷慨的； 自由的， 自由主义的；心胸宽大的；慷慨的,,She has a liberal view on education and encourages creativity.,她对教育持开明的观点，鼓励创造力。
liberate,解放， 释放；解放；释放,,The army helped liberate the town from the enemy.,军队帮助从敌人手中解放了那个城镇。
liberation,解放,,The liberation of the country was celebrated by everyone.,全国人民庆祝国家的解放。
liberty,自由； 许可， 准许； 过于随便， 放肆；自由；释放；许可,,Citizens enjoy the liberty to express their opinions.,公民享有表达意见的自由。
librarian,图书馆管理员；图书馆馆长,,The librarian helped me find the book I needed.,图书馆管理员帮我找到了我需要的那本书。
library,图书馆；藏书,,She goes to the library every weekend to study.,她每个周末都去图书馆学习。
license,准许；许可，执照；许可；执照,,He passed the test and got his driver's license.,他通过了考试，拿到了驾照。
lick,舔，舔吃；打败，克服；轻拍，吞卷；舔； 少量， 少许；舔；舔吃,,The dog tried to lick my hand.,那只狗想舔我的手。
lid,盖子， 盖；盖子，盖，囊盖,,Please put the lid back on the jar.,请把盖子盖回罐子上。
lie,躺，平放；位于,,I like to lie on the grass and look at the sky.,我喜欢躺在草地上看天空。
lieutenant,陆军中尉；副职官员,,The lieutenant gave orders to the soldiers.,中尉向士兵们下达了命令。
life,生命；一生；寿命,,Life is full of surprises and challenges.,生活充满了惊喜和挑战。
lifetime,一生，终身,,Winning the award was the highlight of her lifetime.,赢得这个奖项是她一生中的高光时刻。
lift,提起，提高；电梯,,Can you help me lift this heavy suitcase?,你能帮我抬起这个重行李箱吗？
light,轻的，少量的,,This box is very light; I can carry it easily.,这个盒子很轻，我可以轻松拿起。
lighten,照亮，使明亮,,The sky began to lighten as the sun rose.,太阳升起时，天空开始变亮。
lightly,轻轻地，轻松地,,She touched his arm lightly to get his attention.,她轻轻碰了碰他的手臂以引起他的注意。
lightning,闪电， 电光；闪电，闪电放电,,"The storm brought rain, thunder, and lightning.",暴风雨带来了雨水、雷声和闪电。
like,喜欢；喜爱；希望,,I like to read books before going to bed.,我喜欢睡前看书。
likely,可能；可能的；可能的；适合的；很可能,,"It is likely to rain this afternoon, so take an umbrella.",今天下午很可能下雨，所以带把伞吧。
likewise,同样地； 也， 又；同样地；也，又,,"She finished her homework, and her brother did likewise.",她完成了作业，她的弟弟也同样完成了。
limb,肢， 臂， 腿； 树枝；肢，臂，翼；树枝,,He injured his lower limb in the accident.,他在事故中伤到了下肢。
lime,石灰,,The walls were painted with white lime.,墙壁用白石灰粉刷过。
limit,限度；限制；范围,,There is a speed limit of 80 kilometers per hour on this road.,这条路的限速是每小时80公里。
limitation,限制， 限度； 局限；限制；限度，局限,,"Every system has its limitations, and this one is no exception.",每个系统都有其局限性，这个也不例外。
limited,有限的,,We have a limited amount of time to finish the project.,我们完成项目的时间有限。
limp,〔因一腿受伤而〕跛行，一瘸一拐地走；跛行；软的；不强壮的,,He twisted his ankle and began to limp.,他扭伤了脚踝，开始一瘸一拐地走。
line,线；排；路线；线条,,Please stand in a straight line.,请站成一条直线。
linen,亚麻布；亚麻织物,,She bought linen sheets because they are cool in summer.,她买了亚麻床单，因为它们夏天凉爽。
liner,班船，班机,,The luxury liner sailed across the Atlantic Ocean.,这艘豪华邮轮横渡了大西洋。
link,有环连接；环；环节， 联系， 纽带；连接，联系,,The bridge links the two sides of the river.,这座桥连接了河的两岸。
lion,狮子；勇猛的人,,The lion is known as the king of the jungle.,狮子被认为是丛林之王。
lip,嘴唇,,She bit her lip when she was nervous.,她紧张时咬住了嘴唇。
liquid,液体；液体的；液体的； 清澈的； 流畅的,,Water is a liquid that we need to survive.,水是我们生存所需的液体。
liquor,酒， 烈性酒；酒；溶液，液剂,,He does not drink any kind of liquor.,他任何烈性酒都不喝。
list,列举；表，目录,,Please make a list of everything you need to buy.,请把你需要买的东西列一个清单。
listen,听，留神听；听从,,Listen carefully to what the teacher is saying.,仔细听老师在说什么。
listener,听者，听众之一,,A good listener is often appreciated by others.,一个好的倾听者常常受到别人的欣赏。
liter,升；升(容量单位),,He bought two liters of milk from the store.,他从商店买了两升牛奶。
literary,文学(上)的；文学的； 文人的， 书卷气的,,She won a prize for her literary work.,她的文学作品获得了一个奖项。
literature,文学， 文学作品； 文献， 图书资料；文学，文学作品；文献；文学；文献,,We studied English literature in class.,我们在课堂上学习了英国文学。
little,小的；少；幼小的,,The little puppy was playing in the garden.,那只小狗正在花园里玩耍。
live,居住；活；活的,,She lives in a small town near the coast.,她住在海边的一个小镇上。
lively,活泼的；逼真的,,The market was lively with people and music.,市场里人来人往，音乐声不断，非常热闹。
liver,肝；肝；肝脏,,The liver is an important organ in the human body.,肝脏是人体中一个重要的器官。
living,活的；生活，生计,,He earns a living by working as a teacher.,他靠当老师谋生。
load,装；装满；负载,,The truck was carrying a heavy load of bricks.,卡车装载着一车沉重的砖块。
loaf,一条面包，一个面包；游荡， 闲逛；面包,,I bought a loaf of bread from the bakery.,我从面包店买了一条面包。
loan,借出；贷款；贷款， 借；贷款；暂借,,She took out a bank loan to start her business.,她向银行贷款来创业。
lobby,向进行游说；大厅；休息室；院外活动集团；大堂；游说,,We waited for the interview in the hotel lobby.,我们在酒店大堂等候面试。
local,地方性的； 本地的； 局部的； 狭隘的；地方的；局部的,,We ate at a local restaurant that served traditional food.,我们在一家供应传统菜品的本地餐厅吃饭。
locate,位于，定位；探明， 找出； 把…设置在， 使…坐落于；探明，找出，查出,,Can you locate the nearest subway station on the map?,你能在地图上找到最近的地铁站吗？
location,位置， 场所； 外景拍摄地；位置，场所,,This is a perfect location for a picnic.,这是一个完美的野餐地点。
lock,锁；锁上，锁住,,Do not forget to lock the door when you leave.,离开时别忘了锁门。
locomotive,火车头，机车,,The old steam locomotive is now in the museum.,那台古老的蒸汽机车现在在博物馆里。
lodge,乡间小屋； 旅舍；住宿，暂住；暂住，借宿；暂住，借宿，投宿,,We found a nice lodge to stay in during our trip.,我们旅途中找到了一家不错的小旅馆住下。
log,原木，木料；原木，木料；航海日志；正式记录,,He cut the log into pieces for the fire.,他把原木劈成柴火。
logic,逻辑；逻辑， 推理， 逻辑学；逻辑，推理；逻辑性,,Your argument does not follow any logic.,你的论点毫无逻辑可言。
logical,逻辑的， 合乎常理的；逻辑的；符合逻辑的,,It is logical to save money for the future.,为未来存钱是合乎逻辑的。
logically,合乎情理地，符合逻辑地,,Think logically before making a decision.,做决定之前要合乎逻辑地思考。
lonely,孤独的；荒凉的,,The old man felt lonely after his wife passed away.,妻子去世后，老人感到很孤独。
long,渴望；渴望，极想念,,I long for the day when we can travel again.,我渴望有一天能再次旅行。
look,看；看，显得,,Look at the beautiful sunset over the ocean.,看海洋上空美丽的日落。
loop,圈，环，回路；循环；圈，环，环孔；成环， 成圈,,The road makes a loop around the lake.,这条路绕着湖形成了一个环。
loose,松的； 不精确的， 不严密的； 散漫的；松的；宽松的,,The screw is loose and needs to be tightened.,螺丝松了，需要拧紧。
loosen,解开； 放松， 松弛；解开；使松驰,,He loosened his tie after the long meeting.,漫长的会议结束后，他松了松领带。
lord,贵族；上帝；领主， 君主， 贵族,,The lord of the castle welcomed the visitors.,城堡的主人欢迎了来访者。
lorry,运货汽车， 卡车；运货汽车，卡车,,The lorry delivered fresh vegetables to the supermarket.,卡车把新鲜蔬菜送到了超市。
lose,失去；迷失；输掉,,"Do not lose your keys, or you will not get inside.",别丢了钥匙，不然你就进不去了。
loss,遗失；损失；失败,,The company suffered a great loss this year.,公司今年遭受了很大的损失。
lot,许多，大量；签，阄,,There are a lot of books on the shelf.,书架上有很多书。
loud,响亮的；吵闹的,,"The music was too loud, so I asked them to turn it down.",音乐太吵了，所以我让他们把音量调低。
loudspeaker,扬声器，喇叭,,The announcement came through the loudspeaker.,通知是通过扬声器广播的。
love,爱；爱，喜欢,,I love spending time with my family.,我喜欢和家人在一起。
lovely,可爱的；令人愉快的,,What a lovely day for a walk in the park!,多么美好的一天，适合在公园散步！
lover,爱好者； 情人；爱好者；情人；情侣,,She is a lover of classical music.,她是一位古典音乐爱好者。
low,低的，矮的；低下的,,The shelf is too low for me to store things under it.,架子太低了，我没法在下面放东西。
lower,放下；放下， 降低；较低的；较低的；下面的,,Please lower your voice when you are in the library.,在图书馆里请降低你的音量。
loyal,忠诚的， 忠心的；忠诚的，忠心的,,Dogs are known to be loyal to their owners.,狗以对主人忠诚而闻名。
loyalty,忠诚， 忠心；忠诚，忠实；忠诚，忠心,,The company values loyalty and hard work.,公司重视忠诚和辛勤工作。
luck,运气；好运，幸运,,Good luck with your exam tomorrow!,祝你明天的考试好运！
lucky,幸运的， 侥幸的； 吉利的；幸运的；吉祥的,,I was lucky to find a parking spot right away.,我很幸运马上找到了一个停车位。
luggage,行李；行李；皮箱，皮包,,Please put your luggage in the overhead compartment.,请把行李放在头顶的行李架上。
lumber,木材；木料；制材,,The house was built with lumber from the forest.,这栋房子是用森林里的木材建造的。
lump,团，块；肿块；块，肿块；结块； 将…归并在一起,,She found a lump of sugar in the bowl.,她在碗里发现了一块方糖。
lunch,午餐，(美)便餐,,I usually have lunch at twelve o'clock.,我通常在十二点吃午饭。
lung,肺；肺脏，肺,,Smoking can damage your lungs.,吸烟会损害你的肺。
luxury,奢侈，奢华；奢侈品；奢侈； 奢侈品,,A vacation on the beach is a real luxury.,在海滩度假真是一种奢侈。
machine,机器；机械,,This machine washes clothes automatically.,这台机器可以自动洗衣服。
machinery,机器， 机械,,The factory bought new machinery for production.,工厂购买了新机器用于生产。
mad,发疯的；恼火的,,My dad was mad at me for breaking the window.,我爸爸因为我打破窗户而生气。
madam,夫人，女士，太太,,"Can I help you, madam?",女士，我能帮您吗？
magazine,杂志，期刊,,I read a fashion magazine on the train.,我在火车上看了一本时尚杂志。
magic,有魔力的； 魔术的；魔法，巫术；戏法；魔法，魅力,,The children believed the magician used real magic.,孩子们相信魔术师使用了真正的魔法。
magnet,磁铁， 磁体； 有吸引力的人或事物；磁铁，磁石，磁体,,A magnet can pick up small metal objects.,磁铁可以吸起小金属物件。
magnetic,磁的，有吸引力的；磁的； 有吸引力的,,The magnetic force keeps the note on the fridge.,磁力把便条吸在冰箱上。
magnificent,壮丽的；华丽的；宏伟的， 壮丽的； 华丽的； 极好的,,The view from the mountain top was magnificent.,山顶的景色壮丽无比。
maid,女仆， 侍女；女佣，女仆；少女,,The maid cleaned the room every morning.,女佣每天早上打扫房间。
mail,邮件；邮寄,,I will mail the letter to you tomorrow.,我明天会把信寄给你。
main,主要的，最重要的,,The main road goes straight through the city.,主干道直穿城市中心。
mainframe,主机， 大型机,,The company uses a mainframe to store all its data.,公司用一台大型机存储所有数据。
mainland,大陆,,They took a ferry from the island to the mainland.,他们从岛屿乘渡轮回到了大陆。
mainly,主要地，大体上,,I mainly use my bike to go to work.,我主要骑自行车上班。
mainstream,主流,,Pop music is part of mainstream culture.,流行音乐是主流文化的一部分。
maintain,维持，主张；维持； 维修， 保养； 主张； 赡养；维持；赡养；维修,,You should maintain your car regularly.,你应该定期保养汽车。
maintenance,维持，保持；维修；维持； 保养； 抚养费,,The building needs regular maintenance.,这栋建筑需要定期维护。
major,专业；主修；主要的；少校； 专业；较大的；较大的；主要的；重大的,,My major in college was computer science.,我在大学的主修专业是计算机科学。
majority,多数；多数， 大多数；多数，大多数,,The majority of students passed the exam.,大多数学生通过了考试。
make,使；做，制造,,My mother can make a beautiful cake.,我妈妈会做漂亮的蛋糕。
makeup,化装,,She put on some makeup before going to the party.,她去派对前化了一些妆。
male,男子；男子， 雄性动物；男的，雄的,,A male teacher will teach the boys' class.,一位男老师将教男生班。
malfunction,失灵，故障,,The computer malfunction caused us to lose data.,电脑故障导致我们丢失了数据。
man,男人；人；人类,,The old man walked slowly across the street.,那位老人慢慢走过街道。
manage,管理；设法；对付,,She can manage the whole team by herself.,她可以独自管理整个团队。
management,管理； 处理； 管理部门； 管理人员；管理；经营，处理,,Good management is important for a successful business.,良好的管理对成功的企业很重要。
manager,经理，管理人,,The manager asked me to finish the report by Friday.,经理要求我在周五前完成报告。
mankind,人类,,Space exploration is a great achievement for all mankind.,太空探索是全人类的伟大成就。
manly,男子气概的，果断的,,"He has a deep, manly voice.",他有一副深沉而有男子气概的嗓音。
manner,方式； 态度； 风度； 礼貌， 规矩；方式；态度；礼貌,,She spoke in a polite manner during the meeting.,她在会议上以礼貌的方式发言。
manual,体力的；手册；手册， 指南；用手的；手工做的,,Please read the manual before using the machine.,使用机器前请阅读手册。
manufacture,制造；制造， 制造业；制造，加工；制造，生产；制造；产品,,This factory manufactures car parts.,这家工厂制造汽车零件。
manufacturer,制造商； 制造厂；制造商；制造厂,,The manufacturer offers a two-year warranty.,制造商提供两年保修。
many,许多人；许多的,,Many people came to the concert last night.,昨晚很多人来听了音乐会。
map,地图；图；天体图,,We used a map to find our way through the forest.,我们用地图找路穿过森林。
marble,大理石,,The floor of the hall is made of white marble.,大厅的地板是用白色大理石铺成的。
margin,边缘，范围；页边的空白；边缘；页边空白； 差数， 差额； 余地； 边缘,,The teacher wrote notes in the margin of my essay.,老师在我的论文页边空白处写了批注。
marginalize,边缘化，排斥,,We should not marginalize any group in society.,我们不应该边缘化社会中的任何群体。
marine,海军陆战队士兵；海的， 海生的； 海事的， 海军的， 海运的；海的；海上的,,The marine life in the ocean is very diverse.,海洋中的海洋生物非常多样化。
mark,斑点；记号；标明,,She got a high mark on the English test.,她在英语考试中得了高分。
market,市场； 股市； 行情， 销路；市场；集市；销路,,I bought fresh vegetables at the farmer's market.,我在农贸市场买了新鲜蔬菜。
marriage,结婚， 婚姻； 婚礼；结婚，婚姻；婚礼,,They celebrated their twenty years of marriage.,他们庆祝了结婚二十周年。
married,已婚的； 婚姻的；已婚的；婚姻的,,My sister got married last summer.,我姐姐去年夏天结婚了。
marry,娶， 嫁； 为…证婚； 结婚， 结合；娶，嫁；结婚,,He wants to marry her next year.,他想明年和她结婚。
marvellous,奇迹般的；了不起的,,The weather today is marvellous for a picnic.,今天的气候非常适合野餐。
marvelous,奇迹般的， 了不起的；引起惊异的,,That was a marvelous performance by the dancers.,舞者们的表演精彩极了。
masculine,男性的,,He has a very masculine appearance.,他外表很有男子气概。
mask,掩饰；遮盖， 掩饰；面具，面罩，口罩；伪装；面具；伪装,,Everyone wore a mask during the flu season.,流感季节每个人都戴着口罩。
mass,众多，大量；团，块，堆；群众；质量；众多；团；群众；大量的，大规模的；聚集， 集中,,A large mass of people gathered in the square.,一大群人聚集在广场上。
massive,大的， 大而重的； 大块的； 大量的， 大规模的；巨大的 大量的,,They built a massive bridge across the river.,他们建了一座巨大的桥横跨河流。
master,主人；能手；硕士,,He is a master of chess.,他是一位象棋大师。
masterpiece,杰作，名著,,Mona Lisa is considered a masterpiece of art.,蒙娜丽莎被认为是艺术杰作。
mat,席子， 垫子；席子；草席；垫子,,Please wipe your shoes on the mat before entering.,请在垫子上擦擦鞋再进来。
match,比赛，竞赛；对手,,We watched a football match on TV last night.,我们昨晚在电视上看了一场足球比赛。
mate,伙伴，同事；配偶；伙伴，同事；配偶，配对物；大副；成为配偶， 交配,,My roommate is a good mate from college.,我的室友是大学时期的好伙伴。
material,材料，素材；材料；素材a物质的；物质的， 实体的； 肉体的； 重要的， 实质性的,,Silk is a soft and smooth material.,丝绸是一种柔软光滑的材料。
materialism,唯物主义,,Some people criticize modern society for its materialism.,有些人批评现代社会过于物质主义。
mathematical,数学的；数学的，数学上的,,She has a strong ability to solve mathematical problems.,她有很强的解决数学问题的能力。
mathematics,数学,,Mathematics is my favorite subject in school.,数学是我在学校最喜欢的科目。
maths,(英)数学,,I have a maths exam next Monday.,我下周一有数学考试。
matter,事情；物质；要紧；要紧，重要,,What is the matter with you today?,你今天怎么了？
